FacilityName                                                   ,City                 ,END
Drexel Elem School                                             ,Cicero               ,
Drummond Elem School                                           ,Chicago              ,
Dryden Elem School                                             ,Arlington Heights    ,
Du Quoin Elementary School                                     ,Du Quoin             ,
Du Quoin Middle School                                         ,Du Quoin             ,
Du Quoin CUSD 300                                              ,Du Quoin             ,
Du Quoin High School                                           ,Du Quoin             ,
Dubois Elem School                                             ,Chicago              ,
Dubois Elem School                                             ,Springfield          ,
Dujardin Elementary School                                     ,Bloomingdale         ,
Dulles Elem School                                             ,Chicago              ,
Dunbar Elem School                                             ,East Saint Louis     ,
Dunbar Vocational Career Acad HS                               ,Chicago              ,
Dundee Highlands Elem School                                   ,West Dundee          ,
Dundee Middle School                                           ,Dundee               ,
Dundee-Crown High School                                       ,Carpentersville      ,
Dunlap CUSD 323                                                ,Peoria               ,
Dunlap Grade School                                            ,Dunlap               ,
Dunlap High School                                             ,Dunlap               ,
Dunlap Middle School                                           ,Dunlap               ,
Dunlap Valley Middle School                                    ,Dunlap               ,
Dunne Technology Acad Elem Sch                                 ,Chicago              ,
DuPage Alop                                                    ,Wheaton              ,
DuPage Area Occup Educ Sys                                     ,Addison              ,
DuPage Glenbard Plus                                           ,Addison              ,
DuPage HSD 88                                                  ,Addison              ,
DuPage Montessori in Wheaton                                   ,Wheaton              ,
DuPage Montessori School                                       ,Naperville           ,
DuPage ROE                                                     ,Wheaton              ,
Dupo CUSD 196                                                  ,Dupo                 ,
Dupo High School                                               ,Dupo                 ,
Dupo Jr High School                                            ,Dupo                 ,
Durand CUSD 322                                                ,Durand               ,
Durand Elem School                                             ,Durand               ,
Durand High School                                             ,Durand               ,
Durand Jr High School                                          ,Durand               ,
Durfee Elem School                                             ,Decatur              ,
Durfee Magnet Elementary                                       ,Decatur              ,
Durkin Park Elem School                                        ,Chicago              ,
Dvorak Technology Acad Elem Sch                                ,Chicago              ,
Dwight Common School                                           ,Dwight               ,
Dwight Common SD 232                                           ,Dwight               ,
Dwight D Eisenhower Elem School                                ,Prospect Heights     ,
Dwight D Eisenhower JHS                                        ,Hoffman Estates      ,
Dwight High School                                             ,Dwight               ,
Dwight Twp HSD 230                                             ,Dwight               ,
E St Louis Area Joint Agreement                                ,East Saint Louis     ,
E St Louis Area Joint Agreement                                ,East St Louis        ,
Eagle Academy Christian School                                 ,Lansing              ,
Eagle Pointe Elementary School                                 ,Plainfield           ,
Eagle Ridge School                                             ,Silvis               ,
Eagle Ridge Vocational Del Sys                                 ,Elizabeth            ,
Eagles Vision Academy                                          ,Maywood              ,
Eagleview Elementary School                                    ,Columbia             ,
Earhart Elem Opt for Knowl School                              ,Chicago              ,
Earl H Hanson Elem School                                      ,Rock Island          ,
Earl Pritchett School                                          ,Buffalo Grove        ,
Earle Elem School                                              ,Chicago              ,
Earlville CUSD 9                                               ,Earlville            ,
Earlville Elem School                                          ,Earlville            ,
Earlville Jr/Sr High School                                    ,Earlville            ,
Early Childhood                                                ,Jacksonville         ,
Early Childhood                                                ,Quincy               ,
Early Childhood                                                ,Elmhurst             ,
Early Childhood Center                                         ,Elmwood Park         ,
Early Childhood Cntr                                           ,Dolton               ,
Early Childhood Cntr/Lincoln Primary                           ,Bellwood             ,
Early Childhood Dev Cntr                                       ,Aurora               ,
Early Childhood Education Center                               ,Wood Dale            ,
Early Childhood Facility                                       ,Round Lake           ,
Early Learning Center                                          ,Effingham            ,
Early Learning Center                                          ,West Chicago         ,
Early Learning Center                                          ,Waukegan             ,
Early Learning Center                                          ,Springfield          ,
Early Step Pre-School                                          ,Fulton               ,
EASE Program                                                   ,South Holland        ,
East Alton Middle School                                       ,East Alton           ,
East Alton SD 13                                               ,East Alton           ,
East Alton-Wood River CHSD 14                                  ,Wood River           ,
East Alton-Wood River High Sch                                 ,Wood River           ,
East Aurora HS RSSP                                            ,Aurora               ,
East Coloma - Nelson CESD 20                                   ,Rock Falls           ,
East Coloma - Nelson Elem Sch                                  ,Rock Falls           ,
East Dubuque Elem School                                       ,East Dubuque         ,
East Dubuque High School                                       ,East Dubuque         ,
East Dubuque Jr High                                           ,East Dubuque         ,
East Dubuque USD 119                                           ,East Dubuque         ,
East Elementary School                                         ,Zion                 ,
East Elementary School                                         ,Alton                ,
East High School                                               ,Aurora               ,
East Lake Academy                                              ,Lake Forest          ,
East Leyden High School                                        ,Franklin Park        ,
East Maine SD 63                                               ,Des Plaines          ,
East Moline Christian School                                   ,East Moline          ,
East Moline Education Center                                   ,East Moline          ,
East Moline SD 37                                              ,East Moline          ,
East Peoria CHSD 309                                           ,East Peoria          ,
East Peoria High School                                        ,East Peoria          ,
East Peoria SD 86                                              ,East Peoria          ,
East Prairie Elem School                                       ,Skokie               ,
East Prairie Middle School                                     ,Tuscola              ,
East Prairie SD 73                                             ,Skokie               ,
East Side Elementary School                                    ,Mc Leansboro         ,
East Side Intermediate School                                  ,Harrisburg           ,
East St Louis SD 189                                           ,East Saint Louis     ,
East St Louis Senior High School                               ,East Saint Louis     ,
East St Louis-Lincoln Middle School                            ,East Saint Louis     ,
East View Academy School                                       ,Oswego               ,
Easter Seals Metropolitan Chicago                              ,Chicago              ,
Easter Seals South - Intensive                                 ,Tinley Park          ,
Easter Seals Therapeutic                                       ,Chicago              ,
Easter Seals Therapeutic - Int                                 ,Chicago              ,
Easter Seals Therapeutic-South                                 ,Tinley Park          ,
Eastern IL Area of Spec Educ                                   ,Charleston           ,
Eastern IL EFE System                                          ,Mattoon              ,
Easterseals Acad - Machesney Park                              ,Machesney Park       ,
Easterseals Acad-Machesney Pk-Int                              ,Machesney Park       ,
Easterseals Central IL Learn Acad-INT                          ,Peoria               ,
Easterseals Central IL Learning Acad                           ,Peoria               ,
Easterseals Central Illinois                                   ,Peoria               ,
Eastland CUSD 308                                              ,Shannon              ,
Eastland Elementary School                                     ,Shannon              ,
Eastland Jr/Sr High School                                     ,Lanark               ,
Eastlawn Elem School                                           ,Rantoul              ,
Eastview Elem School                                           ,Algonquin            ,
Eastview Elementary School                                     ,Canton               ,
Eastview Middle School                                         ,Bartlett             ,
Eastwood Elem School                                           ,East Alton           ,
Eau Claire Academy                                             ,Eau Claire           ,
Eberhart Elem School                                           ,Chicago              ,
Ebinger Elem School                                            ,Chicago              ,
ECH Every Childs Hope                                          ,Saint Louis          ,
ECHO Juvenile Detention Ctr Program                            ,Benton               ,
Echo School                                                    ,South Holland        ,
ECSE AM/PM-Wood Dale Dist 7                                    ,Wood Dale            ,
Ed & Life Skills Transition                                    ,Northbrook           ,
Edgar A Poe Elem School                                        ,Arlington Heights    ,
Edgar County CUD 6                                             ,Chrisman             ,
Edgebrook Elem School                                          ,Chicago              ,
Edgebrook Elem School                                          ,Mchenry              ,
Edgewood Elem School                                           ,Woodridge            ,
Edgewood Middle School                                         ,Highland Park        ,
Edinburg CUSD 4                                                ,Edinburg             ,
Edinburg Elem School                                           ,Edinburg             ,
Edinburg High School                                           ,Edinburg             ,
Edinburg Jr High School                                        ,Edinburg             ,
Edison Elem Regional Gifted Cntr                               ,Chicago              ,
Edison Elem School                                             ,Stickney             ,
Edison Elem School                                             ,Elmhurst             ,
Edison Elem School                                             ,Danville             ,
Edison Elementary School                                       ,Macomb               ,
Edison Jr High School                                          ,Rock Island          ,
Edison Junior High School                                      ,Pekin                ,
Edison Middle School                                           ,Champaign            ,
Edison Middle School                                           ,Wheaton              ,
Edison Park Elem School                                        ,Chicago              ,
Edison Primary School                                          ,Kankakee             ,
Edna Keith Elem School                                         ,Joliet               ,
Edna Rollins Elem School                                       ,Aurora               ,
Educ for Employment Sys 330                                    ,Champaign            ,
Educare of West DuPage                                         ,West Chicago         ,
Educate Empower Academy                                        ,Chicago              ,
Educational Daycare                                            ,Jacksonville         ,
Edw/Glt/Hlt/Hdn/Pop/Sln/Wbh/Wn/Wh ROE                          ,Harrisburg           ,
Edward J Tobin Elem School                                     ,Burbank              ,
Edwards County CUSD 1                                          ,Albion               ,
Edwards County High School                                     ,Albion               ,
Edwards Elem School                                            ,Chicago              ,
Edwardsville CUSD 7                                            ,Edwardsville         ,
Edwardsville High School                                       ,Edwardsville         ,
Edwin A Lee Elementary School                                  ,Springfield          ,
Effingham CUSD 40                                              ,Effingham            ,
Effingham High School                                          ,Effingham            ,
Effingham Junior High School                                   ,Effingham            ,
Egyptian CUSD 5                                                ,Tamms                ,
Egyptian Elem School                                           ,Tamms                ,
Egyptian Jr High School                                        ,Tamms                ,
Egyptian Sr High School                                        ,Tamms                ,
Einstein Academy                                               ,Elgin                ,
Eisenhower Academy                                             ,Joliet               ,
Eisenhower Coop-DHH Program                                    ,Crestwood            ,
Eisenhower Cooperative                                         ,Crestwood            ,
Eisenhower Elem School                                         ,Jacksonville         ,
Eisenhower High School                                         ,Decatur              ,
Eisenhower Jr High School                                      ,Darien               ,
Eisenhower Middle School                                       ,Rockford             ,
Eisenhower School                                              ,South Holland        ,
El Paso-Gridley CUSD 11                                        ,El Paso              ,
El Paso-Gridley High School                                    ,El Paso              ,
El Paso-Gridley Jr High School                                 ,Gridley              ,
El Sierra Elem School                                          ,Downers Grove        ,
Elden D Finley Jr High School                                  ,Chicago Ridge        ,
Eldorado Christian Academy                                     ,Eldorado             ,
Eldorado CUSD 4                                                ,Eldorado             ,
Eldorado Elem School                                           ,Eldorado             ,
Eldorado High School                                           ,Eldorado             ,
Eldorado Middle School                                         ,Eldorado             ,
Elgin Academy                                                  ,Elgin                ,
Elgin High School                                              ,Elgin                ,
Elgin Math and Science Academy Charter School                  ,Elgin                ,
Elim Christian School                                          ,Crestwood            ,
Elim Christian School-Day                                      ,Crestwood            ,
Elim Christian School-Intensive                                ,Crestwood            ,
Elim Pathways                                                  ,Palos Heights        ,
Elite Childrens Academy                                        ,Plainfield           ,
Elite Scholars STEAM Academy                                   ,Belleville           ,
Elizabeth Blackwell Elem School                                ,Schaumburg           ,
Elizabeth Eichelberger Elem Sch                                ,Plainfield           ,
Elizabeth Graham Elem School                                   ,Springfield          ,
Elizabeth Ide Elem School                                      ,Darien               ,
Elizabeth Meyer School                                         ,Skokie               ,
Elizabeth Morris Elem School                                   ,Cahokia              ,
Elk Grove High School                                          ,Elk Grove Village    ,
Ellington Elem School                                          ,Chicago              ,
Ellis Arts Academy                                             ,Rockford             ,
Ellis Elem School                                              ,Belleville           ,
Ellis Elementary School                                        ,Rockford             ,
Ellis Middle School                                            ,Elgin                ,
Ellsworth Elem School                                          ,Naperville           ,
Elm Elem School                                                ,Burr Ridge           ,
Elm Middle School                                              ,Elmwood Park         ,
Elmer H Franzen Intermediate Sch                               ,Itasca               ,
Elmhurst Acad Early Learning                                   ,Elmhurst             ,
Elmhurst SD 205                                                ,Elmhurst             ,
Elmwood CUSD 322                                               ,Elmwood              ,
Elmwood Elem School                                            ,Elmwood Park         ,
Elmwood Elem School                                            ,Naperville           ,
Elmwood Elem School                                            ,Zion                 ,
Elmwood Elem School                                            ,Elmwood              ,
Elmwood High School                                            ,Elmwood              ,
Elmwood Junior High School                                     ,Elmwood              ,
Elmwood Park CUSD 401                                          ,Elmwood Park         ,
Elmwood Park High School                                       ,Elmwood Park         ,
Elsie C Johnson Elem Sch                                       ,Hanover Park         ,
Elverado CUSD 196                                              ,Elkville             ,
Elverado High School                                           ,Elkville             ,
Elverado Intermediate School                                   ,Vergennes            ,
Elverado Junior High School                                    ,Vergennes            ,
Elverado Primary School                                        ,Elkville             ,
Elwood C C School                                              ,Elwood               ,
Elwood CCSD 203                                                ,Elwood               ,
Embers Academy                                                 ,Niles                ,
Emden Elementary School                                        ,Emden                ,
Emerson Elem School                                            ,Maywood              ,
Emerson Elem School                                            ,Berwyn               ,
Emerson Elem School                                            ,Wheaton              ,
Emerson Elem School                                            ,Elmhurst             ,
Emerson Middle School                                          ,Niles                ,
Emge Junior High School                                        ,Belleville           ,
Emily G Johns School                                           ,Plano                ,
Emiracle Academy                                               ,Alorton              ,
Emmons Grade School                                            ,Antioch              ,
Emmons SD 33                                                   ,Antioch              ,
Empire Elem School                                             ,Freeport             ,
Enders-Salk Elem School                                        ,Schaumburg           ,
Enger School                                                   ,Franklin Park        ,
Englewood STEM High School                                     ,Chicago              ,
Enliven Christian Academy                                      ,Chicago              ,
Enos Elem School                                               ,Springfield          ,
Enterprise Elem School                                         ,Decatur              ,
EPIC Academy High School                                       ,Chicago              ,
Epiphany School                                                ,Chicago              ,
Epiphany School                                                ,Normal               ,
Epitome of Excellence                                          ,Olympia Fields       ,
Equality Christian Center                                      ,Equality             ,
Erickson Elementary School                                     ,Bloomingdale         ,
Ericson Elem Scholastic Academy                                ,Chicago              ,
Erie CUSD 1                                                    ,Erie                 ,
Erie Elem Charter School                                       ,Chicago              ,
Erie Elem School                                               ,Erie                 ,
Erie High School                                               ,Erie                 ,
Erie Middle School                                             ,Erie                 ,
Ernest F Kolb Elem School                                      ,Oak Lawn             ,
ESD 159                                                        ,Matteson             ,
ESL Regional Vocational System                                 ,East Saint Louis     ,
Eslup Rapid Learning Center                                    ,Chicago              ,
Esmond Elem School                                             ,Chicago              ,
Esperanza Community Services                                   ,Chicago              ,
Esperanza Learning Center                                      ,Chicago              ,
Esperanza School                                               ,Chicago              ,
Esperanza School - Intensive                                   ,Chicago              ,
Estelle Kampmeyer Elem School                                  ,O Fallon             ,
Estelle Sauget School of Choice                                ,Cahokia              ,
Eswood C C Grade School                                        ,Lindenwood           ,
Eswood CCSD 269                                                ,Lindenwood           ,
ETHS Day School                                                ,Evanston             ,
Euclid Elem School                                             ,Mount Prospect       ,
Eugene Field Elem School                                       ,Wheeling             ,
Eugene Field Elem School                                       ,Park Ridge           ,
Eugene Field Elem School                                       ,Rock Island          ,
Eugene Field School                                            ,Normal               ,
Eunice Smith Elem School                                       ,Alton                ,
Eureka CUD 140                                                 ,Eureka               ,
Eureka High School                                             ,Eureka               ,
Eureka Middle School                                           ,Eureka               ,
Evangelical School                                             ,Godfrey              ,
Evans Junior High School                                       ,Bloomington          ,
Evanston CCSD 65                                               ,Evanston             ,
EVANSTON DAY SCHOOL                                            ,GLENVIEW             ,
Evanston Dists 65/202 Jnt Agr                                  ,Evanston             ,
Evanston Twp High School                                       ,Evanston             ,
Evanston Twp HSD 202                                           ,Evanston             ,
Evansville Attendance Center                                   ,Evansville           ,
Evelyn Alexander School                                        ,North Chicago        ,
Everest Academy of Lemont                                      ,Lemont               ,
Everett Dirksen Elementary Sch                                 ,Schaumburg           ,
Everett Elem School                                            ,Chicago              ,
Everett Elem School                                            ,Lake Forest          ,
Everett F Kerr Middle School                                   ,Blue Island          ,
Evergreen Academy                                              ,Union                ,
Evergreen Academy Elem School                                  ,Chicago              ,
Evergreen Elementary School                                    ,Carol Stream         ,
Evergreen Park CHSD 231                                        ,Evergreen Park       ,
Evergreen Park ESD 124                                         ,Evergreen Park       ,
Evergreen Park High School                                     ,Evergreen Park       ,
Everlasting Love Academy                                       ,Chicago              ,
Evers Elem School                                              ,Chicago              ,
Every Childs Hope (ECH)                                        ,Saint Louis          ,
Every Childs Hope-Intensive                                    ,Saint Louis          ,
Ewing Mennonite School                                         ,Ewing                ,
Ewing Northern CCSD 115                                        ,Ewing                ,
Ewing-Northern Elem School                                     ,Ewing                ,
Exc Children Have Opportunities                                ,South Holland        ,
Excel Academy - Englewood HS                                   ,Chicago              ,
Excel Academy - Southwest HS                                   ,Chicago              ,
Excel Academy - Woodlawn HS                                    ,Chicago              ,
Excel Alternative Program                                      ,Atkinson             ,
Excel Institute                                                ,Chicago              ,
Excellence in Academic Achievement Academy                     ,Chicago              ,
Exceptional Learners                                           ,Buffalo Grove        ,
Ezra Christian School                                          ,West Frankfort       ,
Ezzard Charles School                                          ,Chicago              ,
F B Mccord Elem School                                         ,Burbank              ,
F E Peacock Middle School                                      ,Itasca               ,
Fabyan Elementary School                                       ,Geneva               ,
Fairfield Comm H S Dist 225                                    ,Fairfield            ,
Fairfield Comm High School                                     ,Fairfield            ,
Fairfield Elem Academy                                         ,Chicago              ,
Fairfield PSD 112                                              ,Fairfield            ,
Fairmont School                                                ,Lockport             ,
Fairmont SD 89                                                 ,Lockport             ,
Fairmount Elem School                                          ,Downers Grove        ,
Fairview Early Childhood Center                                ,Rockford             ,
Fairview Elem School                                           ,Hoffman Estates      ,
Fairview Elem School                                           ,Mt Prospect          ,
Fairview Elem School                                           ,Normal               ,
Fairview Elem School                                           ,Springfield          ,
Fairview SD 72                                                 ,Skokie               ,
Fairview South Elementary School                               ,Skokie               ,
Faith Baptist Academy                                          ,Glen Carbon          ,
Faith Baptist Christian School                                 ,Pekin                ,
Faith Baptist School                                           ,Belleville           ,
Faith Bible Christian Academy                                  ,Rosamond             ,
Faith Christian Academy                                        ,Evanston             ,
Faith Christian Academy                                        ,Sidell               ,
Faith Christian Elem/Jr Hi Sch                                 ,Geneva               ,
Faith Christian School                                         ,Monticello           ,
Faith Christian School                                         ,Chester              ,
Faith Christian School                                         ,Dixon                ,
Faith Evangelical Lutheran                                     ,Antioch              ,
FAITH LUTHERAN HIGH SCHOOL                                     ,CRYSTAL LAKE         ,
Faith Movers Academy                                           ,University Pk        ,
Faith Walk Community Christian Academy                         ,Chicago              ,
Falcon Ridge Ranch                                             ,Virgin               ,
Falconer Elem School                                           ,Chicago              ,
Families of Faith Christian Academy                            ,Channahon            ,
Family Enrichment Program (FEP)                                ,Riverdale            ,
Family Guidance Centers Inc                                    ,Arlington Heights    ,
Faraday Elem School                                            ,Chicago              ,
Farm and Nature Discovery Preschool                            ,Palos Park           ,
Farmersville Elem School                                       ,Farmersville         ,
Farmingdale Elem School                                        ,Pleasant Plains      ,
Farmington Central CUSD 265                                    ,Farmington           ,
Farmington Central Elem Sch                                    ,Farmington           ,
Farmington Central High Sch                                    ,Farmington           ,
Farmington Central Jr High Sch                                 ,Farmington           ,
Farnsworth Elem School                                         ,Chicago              ,
Farragut Career Academy HS                                     ,Chicago              ,
Farragut Elem School                                           ,Joliet               ,
Farrington CCSD 99                                             ,Bluford              ,
Farrington Elem School                                         ,Bluford              ,
Fasman Yeshiva High School                                     ,Skokie               ,
Father McGivney Catholic H S                                   ,Glen Carbon          ,
Faulkner School                                                ,Chicago              ,
Fearn Elementary School                                        ,North Aurora         ,
Feitshans Elem Sch                                             ,Springfield          ,
Felicity Schools LLC                                           ,Deerfield            ,
Fenger Academy High School                                     ,Chicago              ,
Fenton CHSD 100                                                ,Bensenville          ,
Fenton High School                                             ,Bensenville          ,
Fenwick High School                                            ,Oak Park             ,
Fernway Park Elem School                                       ,Orland Park          ,
Fernwood Elem School                                           ,Chicago              ,
Ferson Creek School                                            ,Saint Charles        ,
Fidley De Fidley Do Academy                                    ,Harvey               ,
Field CCSD 3                                                   ,Texico               ,
Field Elem School                                              ,Chicago              ,
Field Elem School                                              ,Elmhurst             ,
Field Elementary School                                        ,Texico               ,
Field Park Elem School                                         ,Western Springs      ,
Field School                                                   ,Northbrook           ,
Field Stevenson Elem School                                    ,Forest Park          ,
Fieldcrest CUSD 6                                              ,Minonk               ,
Fieldcrest Elem School                                         ,Oak Forest           ,
Fieldcrest High School                                         ,Minonk               ,
Fieldcrest Intermediate School                                 ,Toluca               ,
Fieldcrest Middle School                                       ,Wenona               ,
Fieldcrest Primary School                                      ,Minonk               ,
Fields Lab School                                              ,Macomb               ,
Finkl Elem School                                              ,Chicago              ,
First Baptist Academy                                          ,O Fallon             ,
First Baptist Christian School                                 ,Danville             ,
First Circle Ed for Young Child                                ,Oak Park             ,
First School                                                   ,Mahomet              ,
First Step Preschool                                           ,South Holland        ,
First Steps Nursery School                                     ,Round Lake Beach     ,
Fischer Middle School                                          ,Aurora               ,
Fisher CUSD 1                                                  ,Fisher               ,
Fisher Grade School                                            ,Fisher               ,
Fisher Jr/Sr High School                                       ,Fisher               ,
Fiske Elem School                                              ,Chicago              ,
Five County Reg Voc Center                                     ,Tamms                ,
Five County Reg Voc System                                     ,Tamms                ,
Five County Regional Alternative                               ,Murphysboro          ,
Fizer Temple Academy                                           ,Chicago              ,
Flanagan Elem School                                           ,Flanagan             ,
Flanagan-Cornell Dist 74                                       ,Flanagan             ,
Flanagan-Cornell High School                                   ,Flanagan             ,
FLEX Program                                                   ,Plano                ,
Flora CUSD 35                                                  ,Flora                ,
Flora Elementary School                                        ,Flora                ,
Flora High School                                              ,Flora                ,
Flossmoor Hills Elem School                                    ,Flossmoor            ,
Flossmoor Montessori School                                    ,Flossmoor            ,
Flossmoor SD 161                                               ,Chicago Heights      ,
Floyd Henson Jr High Sch                                       ,Flora                ,
FOCUS Safe Sch Program                                         ,Vandalia             ,
Ford Heights SD 169                                            ,Ford Heights         ,
Ford Special Education Coop                                    ,Gibson City          ,
Foreman High School                                            ,Chicago              ,
Forest Bluff School                                            ,Lake Bluff           ,
Forest Elem School                                             ,Des Plaines          ,
Forest Elem-D/HH EC Program                                    ,Des Plaines          ,
Forest Glen Elem School                                        ,Glen Ellyn           ,
Forest Heights Lodge                                           ,Evergreen            ,
Forest Hills Elem School                                       ,Western Springs      ,
Forest Park Individual Ed School                               ,Joliet               ,
Forest Park Middle School                                      ,Forest Park          ,
Forest Park SD 91                                              ,Forest Park          ,
Forest Ridge SD 142                                            ,Oak Forest           ,
Forest Ridge Youth Services                                    ,Madrid               ,
Forest Road Elem School                                        ,La Grange Park       ,
Forest View Elem School                                        ,Mount Prospect       ,
Forrestal Elem School                                          ,Great Lakes          ,
Forreston Grade School                                         ,Forreston            ,
Forreston Jr/Sr High Sch                                       ,Forreston            ,
Forrestville Valley CUSD 221                                   ,Forreston            ,
Fort Dearborn Elem School                                      ,Chicago              ,
Forum H S for Creative Study                                   ,Blue Island          ,
Foster Park Elem School                                        ,Chicago              ,
Foundations 4 Advancement                                      ,Steger               ,
Foundations College Prep Charter                               ,Chicago              ,
Founders Elementary School                                     ,Dekalb               ,
Four Rivers Spec Educ Dist                                     ,Jacksonville         ,
Fox Chase Elementary School                                    ,Oswego               ,
Fox Creek Elementary School                                    ,Bloomington          ,
Fox Lake GSD 114                                               ,Spring Grove         ,
Fox Meadow Elementary School                                   ,South Elgin          ,
Fox Ridge School                                               ,Saint Charles        ,
Fox River Grove Cons SD 3                                      ,Fox River Grove      ,
Fox River Grove Middle School                                  ,Fox River Grove      ,
Fox Tech Transition Program                                    ,North Aurora         ,
Fox Valley Career Center                                       ,Maple Park           ,
Fox Valley Montessori                                          ,Aurora               ,
Frances Willard Elem School                                    ,Rock Island          ,
Frances Xavier Warde Schools                                   ,Chicago              ,
Francis Granger Middle School                                  ,Aurora               ,
Francis W Parker School                                        ,Chicago              ,
Frank A Brodnicki Elem School                                  ,Justice              ,
Frank C Whiteley Elem School                                   ,Hoffman Estates      ,
Frankfort CCSD 157C                                            ,Frankfort            ,
Frankfort Comm High School                                     ,West Frankfort       ,
Frankfort Community High School                                ,West Frankfort       ,
Frankfort CUSD 168                                             ,West Frankfort       ,
Frankfort Intermediate School                                  ,West Frankfort       ,
Frankfort Square Elem School                                   ,Frankfort            ,
Franklin Co Detention Center 6-8                               ,Benton               ,
Franklin Co Detention Center 9-12                              ,Benton               ,
Franklin County Reg Del System                                 ,Benton               ,
Franklin CUSD 1                                                ,Franklin             ,
Franklin East Grade School                                     ,Franklin             ,
Franklin Elem Fine Arts Center                                 ,Chicago              ,
Franklin Elem School                                           ,Metropolis           ,
Franklin Elem School                                           ,Sterling             ,
Franklin Elem School                                           ,Belleville           ,
Franklin Elementary School                                     ,Franklin             ,
Franklin Elementary School                                     ,Park Ridge           ,
Franklin Elementary School                                     ,Dolton               ,
Franklin Elementary School                                     ,Mattoon              ,
Franklin Jr/Sr High School                                     ,Franklin             ,
Franklin Middle School                                         ,Champaign            ,
Franklin Middle School                                         ,Wheaton              ,
Franklin Park Middle School                                    ,Salem                ,
Franklin Park SD 84                                            ,Franklin Park        ,
Franklin Primary School                                        ,Peoria               ,
Franklin-Jefferson Co Sp Ed Dist                               ,Benton               ,
Franklin-Jefferson SPED-Int-K-12                               ,Benton               ,
Frankln/Johnsn/Massc/Willimsn ROE                              ,Benton               ,
Frassati Catholic Academy                                      ,Wauconda             ,
Frazier Intl Magnet Elem School                                ,Chicago              ,
Frazier Perspectives Magnet ES                                 ,Chicago              ,
Frazier Prep Acad Charter ES                                   ,Chicago              ,
Fred Rodgers Magnet Acad                                       ,Aurora               ,
Frederic L Chamberlain Center                                  ,Middleboro           ,
Frederic L Chamberlain Sch Int                                 ,Middleboro           ,
Frederic L Chamberlain School                                  ,Middleboro           ,
Frederick Nerge Elem School                                    ,Roselle              ,
Frederick School                                               ,Grayslake            ,
